airline,country,n_flights_in,n_passengers_in,n_seats_in,n_flights_out,n_passengers_out,year,month
Pacific Air Express,Papua New Guinea,6,NA,NA,6,NA,2016,5
Pacific Air Express,Solomon Islands,4,NA,NA,4,NA,2016,5
Philippine Airlines,New Zealand,18,1222,2808,18,1516,2016,5
Philippine Airlines,Philippines,80,12093,19095,80,10144,2016,5
Polar Air Cargo,China,NA,NA,NA,9,NA,2016,5
Polar Air Cargo,Japan,12,NA,NA,8,NA,2016,5
Polar Air Cargo,USA,5,NA,NA,NA,NA,2016,5
Qantas Airways,Chile,18,4386,6530,18,4258,2016,5
Qantas Airways,China,35,6645,8363,35,6482,2016,5
Qantas Airways,Hong Kong (SAR),124,26676,37976,125,27132,2016,5
Qantas Airways,Indonesia,17,2752,4510,17,2921,2016,5
Qantas Airways,Japan,62,14111,20388,62,15108,2016,5
Qantas Airways,New Caledonia,18,2146,3022,18,1970,2016,5
Qantas Airways,New Zealand,421,52973,65980,421,49842,2016,5
Qantas Airways,Papua New Guinea,51,1750,3774,52,1903,2016,5
Qantas Airways,Philippines,22,5463,5790,22,5167,2016,5
Qantas Airways,Singapore,167,31085,44344,167,32796,2016,5
Qantas Airways,South Africa,26,7438,9320,26,7030,2016,5
Qantas Airways,Thailand,31,7664,9145,35,8135,2016,5
Qantas Airways,UK,61,18123,29523,62,26486,2016,5
Qantas Airways,USA,194,54157,66921,191,56332,2016,5
Qatar Airways,Qatar,122,19847,40582,122,34020,2016,5
Royal Brunei Airlines,Brunei,31,4147,7874,31,4640,2016,5
Scoot,Singapore,83,23660,31125,82,21534,2016,5
Sichuan Airlines,China,22,2669,5684,22,3035,2016,5
Silk Air,Singapore,27,2728,4374,27,3446,2016,5
Singapore Airlines,New Zealand,9,NA,NA,12,NA,2016,5
Singapore Airlines,Singapore,523,102545,149038,520,112246,2016,5
Solomon Airlines,Solomon Islands,17,1337,2312,18,1298,2016,5
South African Airways,South Africa,26,4956,6888,26,4666,2016,5
Tasman Cargo Airlines,New Zealand,22,NA,NA,22,NA,2016,5
Thai Airways International,Thailand,173,32929,52736,173,35632,2016,5
Tigerair Australia,Indonesia,84,10323,15120,84,12631,2016,5
United Airlines,USA,92,16672,23184,92,18272,2016,5
United Parcel Service,China,NA,NA,NA,22,NA,2016,5
United Parcel Service,Singapore,NA,NA,NA,4,NA,2016,5
United Parcel Service,USA,26,NA,NA,NA,NA,2016,5
Vietnam Airlines,Vietnam,50,10016,14740,51,9430,2016,5
Virgin Australia,Fiji,93,13186,16368,93,13024,2016,5
Virgin Australia,Indonesia,89,11231,15664,87,11694,2016,5
Virgin Australia,New Zealand,287,37949,50512,287,37023,2016,5
Virgin Australia,Papua New Guinea,27,1950,4752,27,2426,2016,5
Virgin Australia,Solomon Islands,9,624,1584,9,825,2016,5
Virgin Australia,Tonga,9,1183,1584,9,1132,2016,5
Virgin Australia,USA,61,16321,21669,61,16761,2016,5
Virgin Australia,Vanuatu,4,277,704,4,591,2016,5
Virgin Samoa,Western Samoa,13,1643,2288,13,1642,2016,5
Xiamen Airlines,China,22,3321,5192,22,2592,2016,5
Air Caledonie International,New Caledonia,36,3948,6449,35,4943,2016,6
Air Canada,Canada,51,9921,14183,49,12450,2016,6
Air China,China,56,9802,14126,56,11868,2016,6
Air India,India,30,6273,7680,30,6512,2016,6
Air Mauritius,Mauritius,8,1473,2200,9,2055,2016,6
Air New Zealand,Cook Islands,4,714,905,4,807,2016,6
Air New Zealand,New Zealand,531,83321,108049,530,85692,2016,6
Air Niugini,Papua New Guinea,111,8114,15160,109,7761,2016,6
Air Vanuatu,Vanuatu,38,3215,6460,38,4130,2016,6
AirAsia X,Malaysia,182,46169,68614,182,59281,2016,6
AirAsia X,New Zealand,30,6219,11310,30,7283,2016,6
All Nippon Airways,Japan,30,4255,6450,30,4973,2016,6
American Airlines,USA,30,6265,9300,30,8665,2016,6
Asiana Airlines,Korea,21,5042,6363,21,5247,2016,6
British Airways,UK,30,7546,8910,30,8280,2016,6
Cathay Pacific Airways,Hong Kong (SAR),325,66280,82957,325,76800,2016,6
Cebu Pacific Air,Philippines,20,4176,8720,20,4764,2016,6
China Airlines,New Zealand,26,4697,7970,26,4337,2016,6
China Airlines,Taiwan,41,9065,12372,41,10715,2016,6
China Eastern Airlines,China,96,17799,22114,96,20413,2016,6
China Southern Airlines,China,180,35873,48264,180,42325,2016,6
Delta Air Lines,USA,29,5557,8439,29,7612,2016,6
Emirates,New Zealand,120,31288,54558,120,32143,2016,6
Emirates,United Arab Emirates,343,94355,142429,343,117481,2016,6
Etihad Airways,United Arab Emirates,180,36903,65255,179,54878,2016,6
Eva Air,Taiwan,9,1932,2268,9,2000,2016,6
Federal Express Corporation,China,NA,NA,NA,26,NA,2016,6
Federal Express Corporation,USA,26,NA,NA,NA,NA,2016,6
Fiji Airways,Fiji,124,16330,23691,125,21653,2016,6
Garuda Indonesia,Indonesia,141,26141,34741,141,28429,2016,6
Hawaiian Airlines,USA,47,8663,13771,47,10939,2016,6
Hong Kong Airlines,Hong Kong (SAR),8,1379,2336,8,1929,2016,6
Indonesia AirAsia,Indonesia,120,16415,21600,120,17241,2016,6
Indonesia AirAsia Extra,Indonesia,42,11737,15834,42,13279,2016,6
Japan Airlines,Japan,30,4557,7320,30,5520,2016,6
Jetstar,China,8,2263,2680,8,2198,2016,6
Jetstar,Fiji,30,3409,5400,30,3963,2016,6
Jetstar,Indonesia,214,46832,52470,216,49088,2016,6
Jetstar,Japan,69,16459,23115,69,18295,2016,6
Jetstar,New Zealand,241,29330,44620,240,31838,2016,6
Jetstar,Singapore,52,10054,12770,52,11758,2016,6
Jetstar,Thailand,48,12427,16080,48,14650,2016,6
Jetstar,USA,46,10555,15410,46,12996,2016,6
Jetstar Asia,Singapore,74,9773,13320,74,10870,2016,6
Korean Air,Korea,47,10077,12565,47,11179,2016,6
LATAM Airlines,Chile,29,6985,8763,29,7756,2016,6
Malaysia Airlines,Malaysia,190,25649,49840,188,40571,2016,6
Malindo Air,Malaysia,51,3913,8262,51,5384,2016,6
Nauru Airlines,Nauru,15,985,1664,17,887,2016,6
Pacific Air Express,Papua New Guinea,5,NA,NA,5,NA,2016,6
Pacific Air Express,Solomon Islands,5,NA,NA,5,NA,2016,6
Philippine Airlines,New Zealand,17,1363,2652,17,1431,2016,6
Philippine Airlines,Philippines,77,9843,18985,77,12071,2016,6
Polar Air Cargo,China,NA,NA,NA,8,NA,2016,6
Polar Air Cargo,Japan,14,NA,NA,10,NA,2016,6
Polar Air Cargo,USA,4,NA,NA,NA,NA,2016,6
Qantas Airways,Canada,1,249,364,1,344,2016,6
Qantas Airways,Chile,17,3633,6144,17,4402,2016,6
Qantas Airways,China,32,5894,7634,33,6157,2016,6
Qantas Airways,Hong Kong (SAR),121,26702,37189,120,31100,2016,6
Qantas Airways,Indonesia,18,3791,4874,18,3575,2016,6
Qantas Airways,Japan,58,12772,19159,58,15406,2016,6
Qantas Airways,New Caledonia,16,1794,2688,16,2196,2016,6
Qantas Airways,New Zealand,427,50437,66893,427,53197,2016,6
Qantas Airways,Papua New Guinea,50,1891,3700,50,1877,2016,6
Qantas Airways,Philippines,21,5199,5794,21,5274,2016,6
Qantas Airways,Singapore,162,32997,43020,163,37807,2016,6
Qantas Airways,South Africa,26,7183,9353,26,6977,2016,6
Qantas Airways,Thailand,30,7054,8591,31,7836,2016,6
Qantas Airways,UK,59,24029,28554,59,26388,2016,6
Qantas Airways,USA,192,55649,66705,189,60265,2016,6
Qatar Airways,Qatar,119,24206,39983,119,35637,2016,6
Royal Brunei Airlines,Brunei,30,4370,7620,30,6050,2016,6
Scoot,Singapore,95,25316,35625,95,29946,2016,6
Sichuan Airlines,China,21,3163,5377,21,4391,2016,6
Silk Air,Singapore,34,3468,5508,33,4679,2016,6
Singapore Airlines,New Zealand,9,NA,NA,13,NA,2016,6
Singapore Airlines,Singapore,536,106348,151244,529,134763,2016,6
Solomon Airlines,Solomon Islands,18,1370,2448,17,1489,2016,6
South African Airways,South Africa,30,4834,8538,30,6317,2016,6
Tasman Cargo Airlines,New Zealand,18,NA,NA,18,NA,2016,6
Thai Airways International,Thailand,168,33116,51146,168,45196,2016,6
Tigerair Australia,Indonesia,81,10586,14580,81,13669,2016,6
United Airlines,USA,89,18613,22428,88,20177,2016,6
United Parcel Service,China,NA,NA,NA,20,NA,2016,6
United Parcel Service,Singapore,NA,NA,NA,4,NA,2016,6
United Parcel Service,USA,26,NA,NA,2,NA,2016,6
Vietnam Airlines,Vietnam,55,11086,16212,55,14089,2016,6
Virgin Australia,Fiji,92,11878,16489,92,13579,2016,6
Virgin Australia,Indonesia,85,10893,14960,86,11853,2016,6
Virgin Australia,New Zealand,309,37379,54384,311,41061,2016,6
Virgin Australia,Papua New Guinea,25,2193,4400,25,2549,2016,6
Virgin Australia,Solomon Islands,8,670,1408,8,910,2016,6
Virgin Australia,Tonga,9,1140,1584,9,1203,2016,6
Virgin Australia,USA,60,16292,21000,60,19599,2016,6
Virgin Australia,Vanuatu,15,1876,2640,15,2307,2016,6
Virgin Samoa,Western Samoa,14,1668,2464,13,1804,2016,6
Xiamen Airlines,China,23,3844,5426,22,3279,2016,6
Air Caledonie International,New Caledonia,35,4145,6236,35,4292,2016,7
Air Canada,Canada,62,15068,17003,62,12801,2016,7
Air China,China,67,14189,15708,67,10976,2016,7
Air India,India,31,7378,7936,31,5473,2016,7
Air Mauritius,Mauritius,9,2438,2475,9,2275,2016,7
Air New Zealand,Cook Islands,5,835,1129,5,1003,2016,7
Air New Zealand,New Zealand,702,112719,144903,696,104347,2016,7
Air Niugini,Papua New Guinea,108,8537,14630,107,7630,2016,7
Air Vanuatu,Vanuatu,41,5186,6970,41,4490,2016,7
AirAsia X,Malaysia,222,77838,83694,222,60674,2016,7
AirAsia X,New Zealand,31,8274,11687,31,8769,2016,7
All Nippon Airways,Japan,31,6017,6665,31,4388,2016,7
American Airlines,USA,31,8858,9610,31,8050,2016,7
Asiana Airlines,Korea,22,5168,6666,22,5193,2016,7
British Airways,UK,31,8946,9207,31,7197,2016,7
Cathay Pacific Airways,Hong Kong (SAR),337,84745,87765,336,63200,2016,7
Cebu Pacific Air,Philippines,22,7189,9592,22,5115,2016,7
China Airlines,New Zealand,27,6257,8275,27,6726,2016,7
China Airlines,Taiwan,48,13782,14484,48,11190,2016,7
China Eastern Airlines,China,101,22409,23317,101,17076,2016,7
China Southern Airlines,China,186,46855,49864,186,35843,2016,7
Delta Air Lines,USA,31,8488,9021,31,8383,2016,7
Emirates,New Zealand,123,37877,55834,123,35309,2016,7
Emirates,United Arab Emirates,350,139792,146760,349,108831,2016,7
Etihad Airways,United Arab Emirates,185,65605,67491,185,57942,2016,7
Eva Air,Taiwan,9,2068,2268,9,1835,2016,7
Federal Express Corporation,China,NA,NA,NA,27,NA,2016,7
Federal Express Corporation,USA,27,NA,NA,NA,NA,2016,7
Fiji Airways,Fiji,143,23520,27216,147,20811,2016,7
Garuda Indonesia,Indonesia,148,33181,36669,148,32352,2016,7
Hawaiian Airlines,USA,48,11440,14064,48,9557,2016,7
Hong Kong Airlines,Hong Kong (SAR),12,2992,3504,12,2209,2016,7
Indonesia AirAsia,Indonesia,125,18828,22500,125,18108,2016,7
Indonesia AirAsia Extra,Indonesia,62,20178,23374,62,19527,2016,7
Japan Airlines,Japan,31,6937,7564,31,4665,2016,7
Jetstar,China,9,2535,3015,9,2108,2016,7
Jetstar,Fiji,31,4524,5580,31,4037,2016,7
Jetstar,Indonesia,226,51172,54630,227,48760,2016,7
Jetstar,Japan,77,23725,25795,77,14422,2016,7
Jetstar,New Zealand,270,38895,48910,271,36382,2016,7
Jetstar,Singapore,56,13008,13955,56,11294,2016,7
Jetstar,Thailand,52,16045,17420,53,14703,2016,7
Jetstar,USA,51,15533,17085,50,12673,2016,7
Jetstar Asia,Singapore,88,13286,15840,87,11332,2016,7
Korean Air,Korea,49,12647,13095,49,9794,2016,7
LATAM Airlines,Chile,30,7378,9270,30,7734,2016,7
Malaysia Airlines,Malaysia,200,48713,52495,199,37120,2016,7
Malindo Air,Malaysia,54,7802,8766,54,6289,2016,7
Nauru Airlines,Nauru,15,913,1792,16,816,2016,7
Pacific Air Express,Nauru,NA,NA,NA,3,NA,2016,7
Pacific Air Express,Papua New Guinea,9,NA,NA,9,NA,2016,7
Pacific Air Express,Solomon Islands,4,NA,NA,4,NA,2016,7
Philippine Airlines,New Zealand,17,1505,2652,17,1928,2016,7
Philippine Airlines,Philippines,81,15268,20504,80,11438,2016,7
Polar Air Cargo,China,NA,NA,NA,11,NA,2016,7
Polar Air Cargo,Japan,13,NA,NA,8,NA,2016,7
Polar Air Cargo,USA,5,NA,NA,NA,NA,2016,7
Qantas Airways,Canada,13,3867,4732,13,3770,2016,7
Qantas Airways,Chile,18,5168,6474,18,5070,2016,7
Qantas Airways,China,35,7936,8578,36,5533,2016,7
Qantas Airways,Hong Kong (SAR),127,36774,38831,127,25927,2016,7
Qantas Airways,Indonesia,22,5325,6123,22,5253,2016,7
Qantas Airways,Japan,62,19153,20359,62,13770,2016,7
Qantas Airways,New Caledonia,19,2536,3276,19,2695,2016,7
Qantas Airways,New Zealand,514,65239,81452,511,64075,2016,7
Qantas Airways,Papua New Guinea,51,2372,3774,51,2035,2016,7
Qantas Airways,Philippines,23,6542,6822,23,5368,2016,7
Qantas Airways,Singapore,174,42138,45459,174,36645,2016,7
Qantas Airways,South Africa,31,9798,11152,31,8534,2016,7
Qantas Airways,Thailand,30,7488,8290,33,7351,2016,7
Qantas Airways,UK,62,29153,30007,62,26430,2016,7
Qantas Airways,USA,197,62736,69959,195,58829,2016,7
Qatar Airways,Qatar,122,38495,41043,122,36993,2016,7
Royal Brunei Airlines,Brunei,31,7279,7874,31,6049,2016,7
Scoot,Singapore,103,33911,38625,103,27308,2016,7
Sichuan Airlines,China,22,5154,5948,22,3455,2016,7
Silk Air,Singapore,35,5193,5670,36,4581,2016,7
Singapore Airlines,New Zealand,9,NA,NA,12,NA,2016,7
Singapore Airlines,Singapore,580,150611,161852,575,133710,2016,7
Solomon Airlines,Solomon Islands,18,1655,2448,18,1479,2016,7
South African Airways,South Africa,31,7269,8415,31,6338,2016,7
Tasman Cargo Airlines,New Zealand,20,NA,NA,20,NA,2016,7
Thai Airways International,Thailand,173,49860,53670,173,40075,2016,7
Tigerair Australia,Indonesia,85,13023,15300,85,14213,2016,7
United Airlines,USA,91,20985,22932,90,20096,2016,7
United Parcel Service,China,NA,NA,NA,22,NA,2016,7
United Parcel Service,Singapore,NA,NA,NA,5,NA,2016,7
United Parcel Service,USA,27,NA,NA,NA,NA,2016,7
Vietnam Airlines,Vietnam,62,17408,18259,62,14275,2016,7
Virgin Australia,Fiji,99,15698,18909,99,14401,2016,7
Virgin Australia,Indonesia,89,12739,15664,90,12193,2016,7
Virgin Australia,New Zealand,396,50627,69696,397,49642,2016,7
Virgin Australia,Papua New Guinea,25,2364,4400,25,2377,2016,7
Virgin Australia,Solomon Islands,8,712,1408,8,721,2016,7
Virgin Australia,Tonga,8,1110,1408,8,1005,2016,7
Virgin Australia,USA,62,19664,21282,61,18241,2016,7
Virgin Australia,Vanuatu,18,2817,3168,18,2627,2016,7
Virgin Samoa,Western Samoa,18,2247,3168,18,2291,2016,7
Xiamen Airlines,China,31,6324,7298,31,3701,2016,7
Air Caledonie International,New Caledonia,37,5113,6324,37,4376,2016,8
Air Canada,Canada,62,12997,17035,62,13663,2016,8
Air China,China,65,11843,15065,65,12235,2016,8
Air India,India,31,5859,7936,31,5129,2016,8
Air Mauritius,Mauritius,9,1994,2475,9,1956,2016,8
Air New Zealand,Cook Islands,4,684,907,4,771,2016,8
Air New Zealand,New Zealand,614,98397,127459,616,97807,2016,8
Air Niugini,Papua New Guinea,100,7231,13950,100,7396,2016,8
Air Vanuatu,Vanuatu,39,4319,6630,39,4087,2016,8
AirAsia X,Malaysia,221,60462,83317,221,54730,2016,8
AirAsia X,New Zealand,31,7367,11687,31,8626,2016,8
All Nippon Airways,Japan,31,5412,6665,31,5919,2016,8
American Airlines,USA,30,6756,9300,30,7593,2016,8
Asiana Airlines,Korea,31,6899,9393,31,6885,2016,8
British Airways,UK,31,7367,9207,31,7910,2016,8
Cathay Pacific Airways,Hong Kong (SAR),331,69597,85590,330,77197,2016,8
Cebu Pacific Air,Philippines,19,5502,8284,19,4854,2016,8
China Airlines,New Zealand,26,6833,7982,26,6348,2016,8
China Airlines,Taiwan,49,11868,14700,49,13290,2016,8
China Eastern Airlines,China,87,16729,20097,87,17688,2016,8
China Southern Airlines,China,185,38693,49636,185,40581,2016,8
Delta Air Lines,USA,29,7350,8439,29,7589,2016,8
Emirates,New Zealand,124,29717,56312,124,30290,2016,8
Emirates,United Arab Emirates,348,107217,150524,348,110673,2016,8
Etihad Airways,United Arab Emirates,186,57222,67642,186,59434,2016,8
Eva Air,Taiwan,9,1801,2268,9,2021,2016,8
Federal Express Corporation,China,NA,NA,NA,27,NA,2016,8
Federal Express Corporation,USA,27,NA,NA,NA,NA,2016,8
Fiji Airways,Fiji,121,17527,22582,121,17594,2016,8
Garuda Indonesia,Indonesia,140,27355,33663,140,26557,2016,8
Hawaiian Airlines,USA,48,8742,14064,48,10412,2016,8
Hong Kong Airlines,Hong Kong (SAR),13,2285,3796,13,3231,2016,8
Indonesia AirAsia,Indonesia,124,18213,22320,124,17121,2016,8
Indonesia AirAsia Extra,Indonesia,43,12399,16211,43,11531,2016,8
Japan Airlines,Japan,31,6611,7564,31,6640,2016,8
Jetstar,China,9,2521,3015,9,2781,2016,8
Jetstar,Fiji,31,3671,5580,31,3508,2016,8
Jetstar,Guam,1,319,335,NA,NA,2016,8
Jetstar,Indonesia,215,46773,52030,214,45206,2016,8
Jetstar,Japan,94,24538,31490,96,27497,2016,8
Jetstar,New Zealand,261,35501,46980,262,35157,2016,8
Jetstar,Singapore,43,8454,9910,44,8385,2016,8
Jetstar,Thailand,49,13173,16415,48,12652,2016,8
Jetstar,USA,34,9946,11390,34,10064,2016,8
Jetstar Asia,Singapore,71,10038,12780,71,9413,2016,8
Korean Air,Korea,48,10483,12832,48,11340,2016,8
LATAM Airlines,Chile,30,7740,9270,31,8153,2016,8
Malaysia Airlines,Malaysia,195,34554,51898,194,32437,2016,8
Malindo Air,Malaysia,52,5804,8424,52,4858,2016,8
Nauru Airlines,Nauru,13,910,1664,14,847,2016,8
Pacific Air Express,Papua New Guinea,6,NA,NA,6,NA,2016,8
Pacific Air Express,Solomon Islands,3,NA,NA,3,NA,2016,8
Philippine Airlines,New Zealand,18,1261,2808,18,1657,2016,8
Philippine Airlines,Philippines,78,10365,19255,78,9191,2016,8
Polar Air Cargo,China,NA,NA,NA,9,NA,2016,8
Polar Air Cargo,Japan,13,NA,NA,9,NA,2016,8
Polar Air Cargo,USA,4,NA,NA,NA,NA,2016,8
Qantas Airways,Brazil,1,192,364,NA,NA,2016,8
Qantas Airways,Canada,6,1629,2183,6,1675,2016,8
Qantas Airways,Chile,16,4589,5735,17,4955,2016,8
Qantas Airways,China,35,6845,8947,35,6587,2016,8
Qantas Airways,Hong Kong (SAR),125,25678,38720,126,31287,2016,8
Qantas Airways,Indonesia,16,3184,4335,16,2922,2016,8
Qantas Airways,Japan,61,16195,20052,62,17419,2016,8
Qantas Airways,New Caledonia,17,2512,2951,17,2146,2016,8
Qantas Airways,New Zealand,482,57389,76846,484,58032,2016,8
Qantas Airways,Papua New Guinea,53,2024,3922,54,2147,2016,8
Qantas Airways,Philippines,22,5434,6400,22,4343,2016,8
Qantas Airways,Singapore,177,37150,45391,178,35534,2016,8
Qantas Airways,South Africa,26,7302,9353,26,6690,2016,8
Qantas Airways,Thailand,31,7459,8887,36,7319,2016,8
Qantas Airways,UK,61,25270,29515,61,26402,2016,8
Qantas Airways,United Arab Emirates,1,459,484,1,110,2016,8
Qantas Airways,USA,198,54659,68939,195,59934,2016,8
Qatar Airways,Qatar,119,35024,40799,119,38176,2016,8
Royal Brunei Airlines,Brunei,30,5702,7620,30,5907,2016,8
Scoot,Singapore,81,22078,30375,82,21469,2016,8
Sichuan Airlines,China,22,4458,5941,22,5035,2016,8
Silk Air,Singapore,34,4072,5508,34,4915,2016,8
Singapore Airlines,New Zealand,9,NA,NA,13,NA,2016,8
Singapore Airlines,Singapore,566,123808,156904,561,130429,2016,8
Solomon Airlines,Solomon Islands,17,1293,2312,18,1401,2016,8
South African Airways,South Africa,31,5183,7957,31,5612,2016,8
Tasman Cargo Airlines,New Zealand,23,NA,NA,23,NA,2016,8
Thai Airways International,Thailand,172,38358,52377,173,36141,2016,8
Tigerair Australia,Indonesia,81,11702,14580,82,13697,2016,8
United Airlines,USA,90,17197,22680,88,19256,2016,8
United Parcel Service,China,NA,NA,NA,22,NA,2016,8
United Parcel Service,Singapore,NA,NA,NA,4,NA,2016,8
United Parcel Service,USA,26,NA,NA,NA,NA,2016,8
Vietnam Airlines,Vietnam,56,12849,16521,56,11444,2016,8
Virgin Australia,Fiji,97,14842,18260,97,14674,2016,8
Virgin Australia,Indonesia,88,12336,15488,87,11623,2016,8
Virgin Australia,New Zealand,365,45272,64240,364,47060,2016,8
Virgin Australia,Papua New Guinea,26,1968,4576,27,2244,2016,8
Virgin Australia,Solomon Islands,9,579,1584,9,620,2016,8
Virgin Australia,Tonga,9,1150,1584,10,1249,2016,8
Virgin Australia,United Arab Emirates,1,273,339,NA,NA,2016,8
Virgin Australia,USA,61,17117,20679,61,18862,2016,8
Virgin Australia,Vanuatu,15,1862,2640,14,1983,2016,8
Virgin Samoa,Western Samoa,13,1666,2288,13,1688,2016,8
Xiamen Airlines,China,30,5446,7080,31,5182,2016,8
Air Caledonie International,New Caledonia,38,4598,6504,38,5216,2016,9
Air Canada,Canada,58,13963,16000,58,11803,2016,9
Air China,China,65,11826,16441,65,12728,2016,9
Air India,India,30,6683,7680,30,5872,2016,9
Air Mauritius,Mauritius,8,1898,2200,8,1836,2016,9
Air New Zealand,Cook Islands,4,634,908,4,764,2016,9
Air New Zealand,New Zealand,611,102427,128631,610,102589,2016,9
Air Niugini,Papua New Guinea,100,8637,14131,98,8279,2016,9
Air Vanuatu,Vanuatu,36,4097,6120,36,4531,2016,9
AirAsia X,Malaysia,216,63699,81432,216,64298,2016,9
AirAsia X,New Zealand,30,8164,11310,30,9063,2016,9
All Nippon Airways,Japan,30,5197,6450,30,6079,2016,9
American Airlines,USA,29,6879,8990,29,7496,2016,9
Asiana Airlines,Korea,30,6572,9090,30,7222,2016,9
Beijing Capital Airlines,China,1,211,222,1,158,2016,9
British Airways,UK,30,8063,8910,30,7652,2016,9
Cathay Pacific Airways,Hong Kong (SAR),325,75025,84469,324,72997,2016,9
Cebu Pacific Air,Philippines,18,5808,7848,18,5364,2016,9
China Airlines,New Zealand,29,6923,8903,29,7319,2016,9
China Airlines,Taiwan,49,11906,14700,49,13125,2016,9
China Eastern Airlines,China,88,17522,20272,88,18277,2016,9
China Southern Airlines,China,181,36944,48524,181,41386,2016,9
Delta Air Lines,USA,30,7697,8730,30,8014,2016,9
Emirates,New Zealand,120,33436,54583,120,35213,2016,9
Emirates,United Arab Emirates,341,125646,146853,340,107948,2016,9
Etihad Airways,United Arab Emirates,167,57329,61196,167,50720,2016,9
Eva Air,Taiwan,8,1597,2016,8,1753,2016,9
Federal Express Corporation,China,NA,NA,NA,25,NA,2016,9
Federal Express Corporation,USA,25,NA,NA,NA,NA,2016,9
Fiji Airways,Fiji,130,19390,25356,130,22067,2016,9
Garuda Indonesia,Indonesia,141,29167,33760,141,29959,2016,9
Hainan Airlines,China,10,2245,2500,10,2033,2016,9
Hawaiian Airlines,USA,47,9476,13771,47,12037,2016,9
Hong Kong Airlines,Hong Kong (SAR),13,2353,3796,13,2293,2016,9
Indonesia AirAsia,Indonesia,120,17977,21600,120,18384,2016,9
Japan Airlines,Japan,30,5899,7320,30,7071,2016,9
Jetstar,China,8,1376,2680,8,1714,2016,9
Jetstar,Fiji,30,3711,5400,30,4155,2016,9
Jetstar,Indonesia,220,48912,53240,221,48654,2016,9
Jetstar,Japan,80,21589,26800,80,23953,2016,9
Jetstar,New Zealand,247,34725,44615,249,35801,2016,9
Jetstar,Singapore,53,10820,13105,50,10321,2016,9
Jetstar,Thailand,47,11826,15745,48,12585,2016,9
